;;;;;;;
;PELÍCULAS;;;;;;
;idPelicula;Titulo;Año;Duración;Nota IMDb;Género;Poster
;154;El quinto elemento;1997;127min;7.7;Sci-Fi;https://pics.filmaffinity.com/the_fifth_element_le_cinquieme_element-198425470-mmed.jpg
;155;Yo, robot;2004;115min;7.1;Sci-Fi;https://pics.filmaffinity.com/i_robot-964272233-mmed.jpg
;156;Distrito 9;2009;111min;7.9;Sci-Fi;https://pics.filmaffinity.com/district_9-116196176-mmed.jpg
;157;Ad Astra;2019;122min;6.5;Sci-Fi;https://pics.filmaffinity.com/ad_astra-649245505-mmed.jpg
;158;La llegada;2016;116min;7.9;Sci-Fi;https://pics.filmaffinity.com/arrival-150207636-mmed.jpg
;159;Passengers;2016;116min;7.0;Sci-Fi;https://pics.filmaffinity.com/passengers-367242067-mmed.jpg
;160;2001: una odisea del espacio;1968;139min;8.3;Sci-Fi;https://pics.filmaffinity.com/2001_a_space_odyssey-322989452-mmed.jpg
;161;Underwater;2020;95min;5.9;Sci-Fi;https://pics.filmaffinity.com/underwater-618836804-mmed.jpg
;162;Solaris;2002;94min;6.2;Sci-Fi;https://pics.filmaffinity.com/solaris-916190762-mmed.jpg
;163;La guerra de los mundos;2005;116min;6.5;Sci-Fi;https://pics.filmaffinity.com/war_of_the_worlds-353489914-mmed.jpg
;164;Misión a Marte;2000;114min;5.7;Sci-Fi;https://pics.filmaffinity.com/mission_to_mars-432458830-mmed.jpg
;165;Gravity;2013;90min;7.7;Sci-Fi;https://pics.filmaffinity.com/gravity-595126003-mmed.jpg
;166;Predators;2010;107min;6.4;Sci-Fi;https://pics.filmaffinity.com/predators-452333459-mmed.jpg
;167;Super 8;2011;107min;7.0;Sci-Fi;https://pics.filmaffinity.com/super_8-421797032-mmed.jpg
;168;Star Trek;2009;126min;7.9;Sci-Fi;https://pics.filmaffinity.com/star_trek_star_trek_xi-815589716-mmed.jpg
;169;Bumblebee;2018;114min;6.7;Sci-Fi;https://pics.filmaffinity.com/bumblebee-553881395-mmed.jpg
;170;Blade Runner 2049;2017;164min;8.0;Sci-Fi;https://pics.filmaffinity.com/blade_runner_2049-681477614-mmed.jpg
;171;Robocop;1987;103min;7.6;Sci-Fi;https://pics.filmaffinity.com/robocop-178512372-large.jpg
;172;Oblivion;2013;126min;7.0;Sci-Fi;https://pics.filmaffinity.com/oblivion-930354183-mmed.jpg
;173;Alita: Ángel de combate;2019;121min;7.3;Sci-Fi;https://pics.filmaffinity.com/alita_battle_angel-715028190-mmed.jpg
;174;Monstruoso;2008;84min;7.0;Sci-Fi;https://pics.filmaffinity.com/cloverfield-188084506-mmed.jpg
;175;Marte (The Martian);2015;142min;8.0;Sci-Fi;https://pics.filmaffinity.com/the_martian-972637166-mmed.jpg
;176;Finch;2021;115min;6.9;Sci-Fi;https://pics.filmaffinity.com/finch-700854548-mmed.jpg
;177;Valerian y la ciudad de los mil planetas;2017;137min;6.5;Sci-Fi;https://pics.filmaffinity.com/valerian_and_the_city_of_a_thousand_planets-459268698-mmed.jpg
;178;After Earth;2013;100min;4.8;Sci-Fi;https://pics.filmaffinity.com/after_earth-859495433-mmed.jpg
;179;La Torre Oscura;2017;95min;5.6;Sci-Fi;https://pics.filmaffinity.com/the_dark_tower-790489565-mmed.jpg
;180;Eternal;2015;116min;6.5;Sci-Fi;https://pics.filmaffinity.com/self_less_aka_selfless-498548304-mmed.jpg
;181;TRON: Legacy;2010;125min;6.8;Sci-Fi;https://pics.filmaffinity.com/tron_legacy-495421688-mmed.jpg
;182;Tau;2018;97min;5.8;Sci-Fi;https://pics.filmaffinity.com/tau-236207705-mmed.jpg
;183;Mudo;2018;126min;5.5;Sci-Fi;https://pics.filmaffinity.com/mute-986749956-mmed.jpg
;184;Blade Runner;1982;117min;8.1;Sci-Fi;https://pics.filmaffinity.com/blade_runner-351607743-mmed.jpg
;185;Ex Machina;2015;108min;7.7;Sci-Fi;https://pics.filmaffinity.com/ex_machina-368494509-mmed.jpg
;186;Infinite;2021;106min;5.5;Sci-Fi;https://pics.filmaffinity.com/infinite-926019748-mmed.jpg
;187;Juez Dredd;1995;95min;5.6;Sci-Fi;https://pics.filmaffinity.com/judge_dredd-447589318-mmed.jpg
;188;Los sustitutos;2009;88min;6.3;Sci-Fi;https://pics.filmaffinity.com/surrogates-502617815-mmed.jpg
;189;High Life;2018;110min;5.8;Sci-Fi;https://pics.filmaffinity.com/high_life-377871831-mmed.jpg
;190;El hijo;2019;90min;6.1;Sci-Fi;https://pics.filmaffinity.com/brightburn-170933836-mmed.jpg
;191;El juego de Ender;2013;114min;6.6;Sci-Fi;https://pics.filmaffinity.com/ender_s_game-635930351-mmed.jpg
;192;La hora más oscura;2011;89min;4.9;Sci-Fi;https://pics.filmaffinity.com/the_darkest_hour-842869670-mmed.jpg
;193;Autómata;2014;110min;6.1;Sci-Fi;https://pics.filmaffinity.com/automata-750464639-mmed.jpg
;194;A.I. Inteligencia Artificial;2001;146min;7.2;Sci-Fi;https://pics.filmaffinity.com/a_i_artificial_intelligence-535598622-mmed.jpg
;195;La cosa (El enigma de otro mundo);1982;105min;8.1;Sci-Fi;https://pics.filmaffinity.com/the_thing-823700381-mmed.jpg
;196;Réplicas;2018;107min;5.5;Sci-Fi;https://pics.filmaffinity.com/replicas-243443952-mmed.jpg
;197;Ready Player One;2018;140min;7.4;Sci-Fi;https://pics.filmaffinity.com/ready_player_one-508487059-mmed.jpg
;198;Life (Vida);2017;103min;6.6;Sci-Fi;https://pics.filmaffinity.com/life-707248688-mmed.jpg
;199;El atlas de las nubes;2012;172min;7.4;Sci-Fi;https://pics.filmaffinity.com/cloud_atlas-447437455-mmed.jpg
;200;Al filo del mañana;2014;113min;7.9;Sci-Fi;https://pics.filmaffinity.com/edge_of_tomorrow-632023834-mmed.jpg
;201;Titanic;1997;195min;7.8;Romántica;https://pics.filmaffinity.com/titanic-321994924-mmed.jpg
;202;Slumdog Millionaire;2008;123min;8.0;Romántica;https://pics.filmaffinity.com/slumdog_millionaire-345553310-mmed.jpg
;203;Pretty Woman;1990;119min;7.1;Romántica;https://pics.filmaffinity.com/pretty_woman-629528349-mmed.jpg
;204;Serena;2014;109min;5.4;Romántica;https://pics.filmaffinity.com/serena-781927012-mmed.jpg
;205;Déjate querer;2014;94min;6.0;Romántica;https://pics.filmaffinity.com/playing_it_cool-912506130-mmed.jpg
;206;La ciudad de las estrellas (La La Land);2016;127min;8.0;Romántica;https://pics.filmaffinity.com/la_la_land-262021831-mmed.jpg
;207;Cuando te encuentre;2012;101min;6.5;Romántica;https://pics.filmaffinity.com/the_lucky_one-105071119-mmed.jpg
;208;Her;2013;126min;8.0;Romántica;https://pics.filmaffinity.com/her-716403893-mmed.jpg
;209;Dirty Dancing;1987;97min;7.0;Romántica;https://pics.filmaffinity.com/dirty_dancing-466465576-mmed.jpg
;210;Un lugar donde refugiarse;2013;115min;6.7;Romántica;https://pics.filmaffinity.com/safe_haven-865542196-mmed.jpg
;211;Remember Me (Recuérdame);2019;88min;7.1;Romántica;https://pics.filmaffinity.com/remember_me-912047120-mmed.jpg
;212;Cincuenta sombras de Grey;2015;124min;4.1;Romántica;https://pics.filmaffinity.com/fifty_shades_of_grey-307638661-mmed.jpg
;213;La última canción;2010;107min;6.0;Romántica;https://pics.filmaffinity.com/the_last_song-620416793-mmed.jpg
;214;Una cuestión de tiempo;2013;123min;7.8;Romántica;https://pics.filmaffinity.com/about_time-988331421-mmed.jpg
;215;West Side Story;2021;156min;7.9;Romántica;https://pics.filmaffinity.com/west_side_story-621764532-mmed.jpg
;216;Love Actually;2003;128min;7.6;Romántica;https://pics.filmaffinity.com/love_actually-840408587-mmed.jpg
;217;Crazy Stupid Love;2011;118min;7.4;Romántica;https://pics.filmaffinity.com/crazy_stupid_love-813652973-mmed.jpg
;218;Una canción irlandesa;2020;102min;5.7;Romántica;https://pics.filmaffinity.com/wild_mountain_thyme-282405666-mmed.jpg
;219;Memorias de África;1985;160min;7.2;Romántica;https://pics.filmaffinity.com/out_of_africa-215774823-mmed.jpg
;220;Cuando menos te lo esperas;2003;129min;6.7;Romántica;https://pics.filmaffinity.com/something_s_gotta_give-495250693-mmed.jpg
;221;Orgullo y prejuicio;2005;127min;7.8;Romántica;https://pics.filmaffinity.com/pride_and_prejudice-629327318-mmed.jpg
;222;El paciente inglés;1996;162min;7.4;Romántica;https://pics.filmaffinity.com/the_english_patient-572633305-mmed.jpg
;223;Begin Again;2013;104min;7.4;Romántica;https://pics.filmaffinity.com/begin_again-274155842-mmed.jpg
;224;El secreto de Adaline;2015;112min;7.2;Romántica;https://pics.filmaffinity.com/the_age_of_adaline-258365000-mmed.jpg
;225;La casa del lago;2006;105min;6.8;Romántica;https://pics.filmaffinity.com/the_lake_house-480956032-mmed.jpg
